epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.485,2.55693,12.1122,2.88291,0.5495,0.06861,0.05288,0.01847,2.81031,12.6951,3.04999,4.99711e-05,4.99711e-05,0.0450529
2,292.267,2.19587,10.0383,2.57402,0.52428,0.12434,0.12551,0.05223,2.69722,10.8366,2.88684,9.9965e-05,9.9965e-05,0.0401029
3,445.746,2.08181,9.38939,2.44424,0.64303,0.14457,0.15269,0.06057,2.57429,9.9272,2.74631,0.000149934,0.000149934,0.0351528
4,579.323,2.04785,9.15248,2.41299,0.53686,0.16776,0.13639,0.05708,2.63062,10.2789,2.80738,0.000199861,0.000199861,0.0302027
5,712.033,2.01251,8.95942,2.35938,0.53287,0.14626,0.12383,0.05082,2.57946,12.454,2.83882,0.000249726,0.000249726,0.0252526
6,841.453,1.9662,8.54799,2.31673,0.48788,0.2262,0.18397,0.06873,2.57207,9.64516,2.83743,0.000299511,0.000299511,0.0203024
7,968.58,1.92647,8.34974,2.28813,0.55857,0.17392,0.17672,0.07429,2.51963,12.6161,2.85579,0.000349198,0.000349198,0.0153521
8,1097.24,1.90284,8.11284,2.25263,0.54711,0.20819,0.21714,0.08097,2.41549,9.53503,2.70869,0.000398769,0.000398769,0.0104017
9,1225.27,1.88347,7.9491,2.2393,0.49453,0.18774,0.17173,0.06294,2.54025,12.8149,2.79538,0.000448206,0.000448206,0.00545109
10,1351.19,1.86367,7.91204,2.22016,0.60378,0.20599,0.22149,0.08879,2.45282,13.2782,2.83246,0.00049749,0.00049749,0.000500376
11,1479.36,1.84602,7.73131,2.18758,0.4576,0.30266,0.24891,0.09063,2.47267,13.7745,2.89376,0.000496937,0.000496937,0.000496937
12,1612.94,1.82393,7.50085,2.17817,0.53399,0.28131,0.26255,0.09818,2.4025,12.0303,2.7327,0.000496296,0.000496296,0.000496296
13,1742.84,1.80646,7.4233,2.16859,0.43812,0.26657,0.24303,0.10154,2.39297,10.8482,2.81748,0.000495594,0.000495594,0.000495594
14,1871.91,1.78351,7.20635,2.14256,0.44986,0.28157,0.25145,0.11042,2.44592,10.7162,2.87366,0.000494832,0.000494832,0.000494832
15,2004.42,1.75581,7.11595,2.12549,0.44607,0.22711,0.23011,0.09984,2.46497,11.1142,2.86072,0.000494009,0.000494009,0.000494009
16,2135.55,1.76418,6.94921,2.11875,0.54422,0.28978,0.27284,0.11968,2.36009,12.6493,2.84024,0.000493127,0.000493127,0.000493127
17,2265.77,1.7508,6.89979,2.11132,0.32593,0.32748,0.26383,0.11044,2.44992,12.8736,2.8885,0.000492185,0.000492185,0.000492185
18,2395,1.71884,6.74163,2.09111,0.53051,0.31877,0.2747,0.11645,2.37193,10.2459,2.70587,0.000491184,0.000491184,0.000491184
19,2527.21,1.71176,6.6556,2.07361,0.5937,0.27359,0.27819,0.11632,2.43796,10.364,2.86662,0.000490123,0.000490123,0.000490123
20,2658.82,1.71201,6.58984,2.08778,0.49118,0.30826,0.27593,0.12633,2.30354,12.581,2.71482,0.000489004,0.000489004,0.000489004
21,2789.9,1.69719,6.52598,2.07218,0.46959,0.29961,0.29115,0.12477,2.37453,11.3899,2.90246,0.000487825,0.000487825,0.000487825
22,2919.66,1.67924,6.44658,2.04649,0.5448,0.30522,0.30032,0.13374,2.33646,10.0727,2.87523,0.000486589,0.000486589,0.000486589
23,3052.29,1.66164,6.35204,2.05102,0.49684,0.30235,0.25753,0.11479,2.32759,10.7373,2.89992,0.000485294,0.000485294,0.000485294
24,3234.75,1.66189,6.39371,2.0327,0.52349,0.31103,0.32274,0.13666,2.36594,9.11185,2.93285,0.000483942,0.000483942,0.000483942
25,3406.63,1.65292,6.09425,2.03176,0.52072,0.34805,0.29904,0.12975,2.3996,8.66295,3.07627,0.000482532,0.000482532,0.000482532
26,3534.49,1.65266,6.15806,2.01904,0.56542,0.34403,0.30359,0.14039,2.38275,8.13209,3.10256,0.000481065,0.000481065,0.000481065
27,3664.3,1.61117,6.10289,1.99846,0.57199,0.31268,0.32821,0.14469,2.35355,9.27723,2.96731,0.000479541,0.000479541,0.000479541
28,3794.42,1.64147,6.06342,2.01893,0.56006,0.35529,0.30176,0.13867,2.36622,9.65351,2.99077,0.000477962,0.000477962,0.000477962
29,3926.95,1.62059,6.08313,2.00404,0.52981,0.34888,0.32,0.14278,2.35113,9.16816,2.96039,0.000476326,0.000476326,0.000476326
30,4059.25,1.61055,5.90148,1.98675,0.58627,0.35569,0.29843,0.13191,2.34224,10.7,3.16786,0.000474634,0.000474634,0.000474634
31,4188.39,1.61817,5.86024,2.01007,0.5657,0.27212,0.25618,0.10778,2.37868,9.81074,2.9595,0.000472888,0.000472888,0.000472888
32,4314.9,1.60444,5.82446,1.99819,0.61158,0.32736,0.30736,0.14441,2.2638,8.41517,2.84085,0.000471087,0.000471087,0.000471087
33,4447.37,1.59671,5.69143,1.97228,0.57925,0.36208,0.34911,0.15355,2.3102,10.0005,3.08934,0.000469231,0.000469231,0.000469231
34,4574.27,1.58502,5.63615,1.95414,0.62521,0.34788,0.3243,0.14989,2.32899,8.89351,2.97965,0.000467322,0.000467322,0.000467322
35,4699.84,1.56651,5.73542,1.95748,0.55202,0.35069,0.31013,0.14435,2.34606,8.84198,3.13185,0.00046536,0.00046536,0.00046536
36,4828.19,1.58704,5.60689,1.95682,0.67608,0.33245,0.31906,0.14607,2.34096,8.50628,3.11042,0.000463344,0.000463344,0.000463344
37,4954.7,1.57989,5.52843,1.94883,0.66531,0.30929,0.31644,0.14947,2.28611,8.5309,2.96285,0.000461277,0.000461277,0.000461277
38,5086.57,1.57835,5.60781,1.95203,0.59547,0.3495,0.3314,0.15264,2.23323,8.0987,2.90499,0.000459157,0.000459157,0.000459157
39,5215.62,1.54705,5.47427,1.93257,0.59276,0.35443,0.33646,0.15714,2.31947,7.84939,3.03537,0.000456986,0.000456986,0.000456986
40,5342.19,1.56454,5.38701,1.93471,0.53241,0.3858,0.35741,0.15235,2.30103,8.51797,3.06205,0.000454765,0.000454765,0.000454765
41,5472.47,1.55049,5.44033,1.93674,0.63592,0.34498,0.37747,0.15599,2.34474,7.44403,3.02016,0.000452493,0.000452493,0.000452493
42,5599.69,1.54138,5.37721,1.90492,0.73526,0.35807,0.33745,0.15014,2.23402,9.06686,2.91913,0.000450172,0.000450172,0.000450172
43,5725.68,1.54514,5.25886,1.92884,0.66105,0.33274,0.39075,0.17917,2.31011,8.76551,2.9219,0.000447801,0.000447801,0.000447801
44,5856.08,1.53182,5.27328,1.91087,0.59993,0.40057,0.35235,0.15509,2.3091,7.92488,2.95384,0.000445382,0.000445382,0.000445382
45,5983.16,1.52657,5.13112,1.89745,0.70362,0.34613,0.40965,0.16778,2.38275,9.46808,3.20413,0.000442915,0.000442915,0.000442915
46,6109.33,1.53265,5.20591,1.90767,0.60673,0.37302,0.38252,0.18003,2.26343,7.64037,2.97185,0.000440401,0.000440401,0.000440401
47,6241.56,1.53304,5.30922,1.89788,0.64556,0.36871,0.40098,0.17601,2.36069,10.2035,3.14608,0.00043784,0.00043784,0.00043784
48,6369.81,1.52105,5.18207,1.91015,0.60862,0.32533,0.3346,0.13683,2.30658,10.1214,3.03044,0.000435233,0.000435233,0.000435233
49,6497.6,1.5115,5.20384,1.90687,0.65013,0.36728,0.3671,0.15852,2.30622,9.70261,3.02843,0.000432581,0.000432581,0.000432581
50,6626.85,1.50739,5.11739,1.88517,0.67363,0.37923,0.37192,0.1687,2.33244,8.50409,3.15957,0.000429884,0.000429884,0.000429884
51,6754.15,1.50249,5.05423,1.87687,0.56166,0.39233,0.34997,0.14556,2.36937,7.90373,3.23702,0.000427143,0.000427143,0.000427143
52,6882.49,1.49907,4.9348,1.88037,0.67379,0.36613,0.41772,0.16189,2.32824,7.75105,3.18607,0.000424358,0.000424358,0.000424358
53,7010.68,1.48904,4.95619,1.86752,0.63226,0.35103,0.39457,0.17263,2.36937,7.42683,3.16544,0.000421531,0.000421531,0.000421531
54,7139.46,1.48265,4.99045,1.88583,0.7179,0.3431,0.38154,0.15369,2.28345,7.70328,3.07983,0.000418662,0.000418662,0.000418662
55,7268.77,1.48706,4.88475,1.87377,0.65391,0.3641,0.37679,0.17138,2.35451,7.29274,3.17901,0.000415751,0.000415751,0.000415751
56,7396.03,1.48756,4.97331,1.87008,0.66238,0.3745,0.40583,0.17817,2.34919,9.74877,3.12648,0.0004128,0.0004128,0.0004128
57,7522.24,1.47732,4.86811,1.8656,0.68107,0.35103,0.37778,0.17285,2.26751,8.5819,3.04702,0.000409809,0.000409809,0.000409809
58,7652.71,1.47601,4.76142,1.8532,0.67394,0.36719,0.38709,0.16565,2.33793,8.11251,3.12156,0.000406779,0.000406779,0.000406779
